JobID,Title,Experience Level,Years of experience,Skills,Responsibilities,Keywords,Education
1,Network Engineer,Senior,9,"Networking, Cisco, Linux, Firewall","Maintain networks, ensure uptime, troubleshoot issues","Networking, Systems, IT",B.Tech Networking
2,Cybersecurity Analyst,Senior,9,"Cybersecurity, Penetration Testing, Risk Assessment","Conduct penetration testing, ensure data security","Cybersecurity, Risk, Security",M.Sc Cybersecurity
3,HR Manager,Senior,6,"Communication, Recruitment, Payroll, MS Excel","Manage HR operations, employee relations, payroll management","HR, People, Management",MBA Human Resources
4,DevOps Engineer,Senior,4,"AWS, Docker, Kubernetes, CI/CD","Automate cloud deployments, manage CI/CD pipelines","Cloud, Automation, DevOps",B.Tech Information Technology
5,Software Engineer,Senior,3,"Python, Java, SQL, Git","Develop software applications, collaborate with teams, write clean code","Software, Developer, Engineer",B.Tech Computer Science
6,HR Manager,Senior,4,"Communication, Recruitment, Payroll, MS Excel","Manage HR operations, employee relations, payroll management","HR, People, Management",MBA Human Resources
7,Financial Analyst,Senior,7,"Financial Modeling, Excel, Power BI, Accounting","Prepare financial reports, analyze budgets, support decision making","Finance, Accounting, Analyst",M.Com Finance
8,Network Engineer,Entry,9,"Networking, Cisco, Linux, Firewall","Maintain networks, ensure uptime, troubleshoot issues","Networking, Systems, IT",B.Tech Networking
9,HR Manager,Senior,7,"Communication, Recruitment, Payroll, MS Excel","Manage HR operations, employee relations, payroll management","HR, People, Management",MBA Human Resources
10,Graphic Designer,Entry,7,"Photoshop, Illustrator, UI/UX, Creativity","Create visual designs, branding, digital content","Design, Graphics, Creativity",Diploma Graphic Design
11,Data Scientist,Mid,0,"Python, R, Machine Learning, Statistics","Analyze data, build predictive models, communicate insights","Data, ML, AI",M.Sc Data Science
12,HR Manager,Entry,9,"Communication, Recruitment, Payroll, MS Excel","Manage HR operations, employee relations, payroll management","HR, People, Management",MBA Human Resources
13,Project Manager,Mid,1,"Leadership, Agile, Scrum, JIRA, Budgeting","Oversee projects, manage stakeholders, ensure delivery","Management, Agile, Scrum",MBA Project Management
14,Data Scientist,Entry,6,"Python, R, Machine Learning, Statistics","Analyze data, build predictive models, communicate insights","Data, ML, AI",M.Sc Data Science
15,Data Scientist,Mid,6,"Python, R, Machine Learning, Statistics","Analyze data, build predictive models, communicate insights","Data, ML, AI",M.Sc Data Science
16,Software Engineer,Senior,7,"Python, Java, SQL, Git","Develop software applications, collaborate with teams, write clean code","Software, Developer, Engineer",B.Tech Computer Science
17,Project Manager,Entry,10,"Leadership, Agile, Scrum, JIRA, Budgeting","Oversee projects, manage stakeholders, ensure delivery","Management, Agile, Scrum",MBA Project Management
18,Marketing Specialist,Senior,7,"SEO, Social Media, Content Writing, Google Analytics","Plan and execute digital campaigns, content optimization","Marketing, SEO, Digital",BBA Marketing
19,Marketing Specialist,Mid,8,"SEO, Social Media, Content Writing, Google Analytics","Plan and execute digital campaigns, content optimization","Marketing, SEO, Digital",BBA Marketing
20,DevOps Engineer,Senior,0,"AWS, Docker, Kubernetes, CI/CD","Automate cloud deployments, manage CI/CD pipelines","Cloud, Automation, DevOps",B.Tech Information Technology
21,Project Manager,Senior,0,"Leadership, Agile, Scrum, JIRA, Budgeting","Oversee projects, manage stakeholders, ensure delivery","Management, Agile, Scrum",MBA Project Management
22,Graphic Designer,Entry,10,"Photoshop, Illustrator, UI/UX, Creativity","Create visual designs, branding, digital content","Design, Graphics, Creativity",Diploma Graphic Design
23,Cybersecurity Analyst,Entry,1,"Cybersecurity, Penetration Testing, Risk Assessment","Conduct penetration testing, ensure data security","Cybersecurity, Risk, Security",M.Sc Cybersecurity
24,Network Engineer,Entry,5,"Networking, Cisco, Linux, Firewall","Maintain networks, ensure uptime, troubleshoot issues","Networking, Systems, IT",B.Tech Networking
